match_id,minute,homeTeam_name,awayTeam_name,homeGoals,awayGoals
1,1,Atalanta,Bologna,0,0
1,2,Atalanta,Bologna,0,0
1,3,Atalanta,Bologna,1,0
1,4,Atalanta,Bologna,1,0
1,5,Atalanta,Bologna,1,0
1,6,Atalanta,Bologna,1,0
1,7,Atalanta,Bologna,1,0
1,8,Atalanta,Bologna,1,0
1,9,Atalanta,Bologna,1,0
1,10,Atalanta,Bologna,1,0
1,11,Atalanta,Bologna,1,0
1,12,Atalanta,Bologna,1,0
1,13,Atalanta,Bologna,1,0
1,14,Atalanta,Bologna,1,0
1,15,Atalanta,Bologna,1,0
1,16,Atalanta,Bologna,1,0
1,17,Atalanta,Bologna,1,0
1,18,Atalanta,Bologna,1,0
1,19,Atalanta,Bologna,1,0
1,20,Atalanta,Bologna,1,0
1,21,Atalanta,Bologna,2,0
1,22,Atalanta,Bologna,2,0
1,23,Atalanta,Bologna,2,0
1,24,Atalanta,Bologna,2,0
1,25,Atalanta,Bologna,2,0
1,26,Atalanta,Bologna,2,0
1,27,Atalanta,Bologna,2,0
1,28,Atalanta,Bologna,2,0
1,29,Atalanta,Bologna,2,0
1,30,Atalanta,Bologna,2,0
1,31,Atalanta,Bologna,2,0
1,32,Atalanta,Bologna,2,0
1,33,Atalanta,Bologna,2,0
1,34,Atalanta,Bologna,2,0
1,35,Atalanta,Bologna,2,0
1,36,Atalanta,Bologna,2,0
1,37,Atalanta,Bologna,2,0
1,38,Atalanta,Bologna,2,0
1,39,Atalanta,Bologna,2,0
1,40,Atalanta,Bologna,2,0
1,41,Atalanta,Bologna,2,0
1,42,Atalanta,Bologna,2,0
1,43,Atalanta,Bologna,2,0
1,44,Atalanta,Bologna,2,0
1,45,Atalanta,Bologna,2,0
1,46,Atalanta,Bologna,2,0
1,47,Atalanta,Bologna,2,0
1,48,Atalanta,Bologna,2,0
1,49,Atalanta,Bologna,2,0
1,50,Atalanta,Bologna,2,0
1,51,Atalanta,Bologna,2,0
1,52,Atalanta,Bologna,2,0
1,53,Atalanta,Bologna,2,0
1,54,Atalanta,Bologna,2,0
1,55,Atalanta,Bologna,2,0
1,56,Atalanta,Bologna,2,0
1,57,Atalanta,Bologna,2,0
1,58,Atalanta,Bologna,2,0
1,59,Atalanta,Bologna,2,0
1,60,Atalanta,Bologna,2,0
1,61,Atalanta,Bologna,2,0
1,62,Atalanta,Bologna,2,0
1,63,Atalanta,Bologna,2,0
1,64,Atalanta,Bologna,2,0
1,65,Atalanta,Bologna,2,0
1,66,Atalanta,Bologna,2,0
1,67,Atalanta,Bologna,2,0
1,68,Atalanta,Bologna,2,0
1,69,Atalanta,Bologna,2,0
1,70,Atalanta,Bologna,2,0
1,71,Atalanta,Bologna,2,0
1,72,Atalanta,Bologna,2,0
1,73,Atalanta,Bologna,2,0
1,74,Atalanta,Bologna,2,0
1,75,Atalanta,Bologna,2,0
1,76,Atalanta,Bologna,2,0
1,77,Atalanta,Bologna,2,0
1,78,Atalanta,Bologna,2,0
1,79,Atalanta,Bologna,2,0
1,80,Atalanta,Bologna,2,0
1,81,Atalanta,Bologna,2,0
1,82,Atalanta,Bologna,2,0
1,83,Atalanta,Bologna,2,0
1,84,Atalanta,Bologna,2,0
1,85,Atalanta,Bologna,2,0
1,86,Atalanta,Bologna,2,0
1,87,Atalanta,Bologna,2,0
1,88,Atalanta,Bologna,2,0
1,89,Atalanta,Bologna,2,0
1,90,Atalanta,Bologna,2,0
2,1,Atalanta,Cagliari,0,0
2,2,Atalanta,Cagliari,0,0
2,3,Atalanta,Cagliari,0,0
2,4,Atalanta,Cagliari,0,0
2,5,Atalanta,Cagliari,0,0
2,6,Atalanta,Cagliari,0,0
2,7,Atalanta,Cagliari,0,0
2,8,Atalanta,Cagliari,0,0
2,9,Atalanta,Cagliari,0,0
2,10,Atalanta,Cagliari,0,0
2,11,Atalanta,Cagliari,0,0
2,12,Atalanta,Cagliari,0,0
2,13,Atalanta,Cagliari,0,0
2,14,Atalanta,Cagliari,0,0
2,15,Atalanta,Cagliari,0,0
2,16,Atalanta,Cagliari,0,0
2,17,Atalanta,Cagliari,0,0
2,18,Atalanta,Cagliari,0,0
2,19,Atalanta,Cagliari,0,0
2,20,Atalanta,Cagliari,0,0
2,21,Atalanta,Cagliari,0,0
2,22,Atalanta,Cagliari,0,0
2,23,Atalanta,Cagliari,0,0
2,24,Atalanta,Cagliari,0,0
2,25,Atalanta,Cagliari,0,0
2,26,Atalanta,Cagliari,0,0
2,27,Atalanta,Cagliari,0,0
2,28,Atalanta,Cagliari,0,0
2,29,Atalanta,Cagliari,0,0
2,30,Atalanta,Cagliari,0,0
2,31,Atalanta,Cagliari,0,0
2,32,Atalanta,Cagliari,0,0
2,33,Atalanta,Cagliari,0,0
2,34,Atalanta,Cagliari,0,0
2,35,Atalanta,Cagliari,0,0
2,36,Atalanta,Cagliari,0,0
2,37,Atalanta,Cagliari,0,0
2,38,Atalanta,Cagliari,0,0
2,39,Atalanta,Cagliari,0,0
2,40,Atalanta,Cagliari,0,0
2,41,Atalanta,Cagliari,0,0
2,42,Atalanta,Cagliari,0,0
2,43,Atalanta,Cagliari,0,0
2,44,Atalanta,Cagliari,0,0
2,45,Atalanta,Cagliari,0,0
2,46,Atalanta,Cagliari,0,0
2,47,Atalanta,Cagliari,0,0
2,48,Atalanta,Cagliari,0,0
2,49,Atalanta,Cagliari,0,0
2,50,Atalanta,Cagliari,0,0
2,51,Atalanta,Cagliari,0,0
2,52,Atalanta,Cagliari,0,0
2,53,Atalanta,Cagliari,0,0
2,54,Atalanta,Cagliari,0,0
2,55,Atalanta,Cagliari,0,0
2,56,Atalanta,Cagliari,0,0
2,57,Atalanta,Cagliari,0,0
2,58,Atalanta,Cagliari,0,0
2,59,Atalanta,Cagliari,0,0
2,60,Atalanta,Cagliari,0,0
2,61,Atalanta,Cagliari,0,0
2,62,Atalanta,Cagliari,0,0
2,63,Atalanta,Cagliari,0,0
2,64,Atalanta,Cagliari,0,0
2,65,Atalanta,Cagliari,0,0
2,66,Atalanta,Cagliari,0,0
2,67,Atalanta,Cagliari,0,0
2,68,Atalanta,Cagliari,0,0
2,69,Atalanta,Cagliari,0,0
2,70,Atalanta,Cagliari,0,0
2,71,Atalanta,Cagliari,0,0
2,72,Atalanta,Cagliari,0,0
2,73,Atalanta,Cagliari,0,0
2,74,Atalanta,Cagliari,0,0
2,75,Atalanta,Cagliari,0,0
2,76,Atalanta,Cagliari,0,0
2,77,Atalanta,Cagliari,0,0
2,78,Atalanta,Cagliari,0,0
2,79,Atalanta,Cagliari,0,0
2,80,Atalanta,Cagliari,0,0
2,81,Atalanta,Cagliari,0,0
2,82,Atalanta,Cagliari,0,0
2,83,Atalanta,Cagliari,0,0
2,84,Atalanta,Cagliari,0,0
2,85,Atalanta,Cagliari,0,0
2,86,Atalanta,Cagliari,0,0
2,87,Atalanta,Cagliari,0,0
2,88,Atalanta,Cagliari,0,0
2,89,Atalanta,Cagliari,0,0
2,90,Atalanta,Cagliari,0,0
3,1,Atalanta,Como,0,0
3,2,Atalanta,Como,0,0
3,3,Atalanta,Como,0,0
3,4,Atalanta,Como,0,0
3,5,Atalanta,Como,0,0
3,6,Atalanta,Como,0,0
3,7,Atalanta,Como,0,0
3,8,Atalanta,Como,0,0
3,9,Atalanta,Como,0,0
3,10,Atalanta,Como,0,0
3,11,Atalanta,Como,0,0
3,12,Atalanta,Como,0,0
3,13,Atalanta,Como,0,0
3,14,Atalanta,Como,0,0
3,15,Atalanta,Como,0,0
3,16,Atalanta,Como,0,0
3,17,Atalanta,Como,0,0
3,18,Atalanta,Como,1,0
3,19,Atalanta,Como,1,0
3,20,Atalanta,Como,1,0
3,21,Atalanta,Como,1,0
3,22,Atalanta,Como,1,0
3,23,Atalanta,Como,1,0
3,24,Atalanta,Como,1,0
3,25,Atalanta,Como,1,0
3,26,Atalanta,Como,1,0
3,27,Atalanta,Como,1,0
3,28,Atalanta,Como,1,0
3,29,Atalanta,Como,1,0
3,30,Atalanta,Como,1,0
3,31,Atalanta,Como,1,0
3,32,Atalanta,Como,1,0
3,33,Atalanta,Como,1,0
3,34,Atalanta,Como,1,0
3,35,Atalanta,Como,1,0
3,36,Atalanta,Como,1,0
3,37,Atalanta,Como,1,0
3,38,Atalanta,Como,1,0
3,39,Atalanta,Como,1,0
3,40,Atalanta,Como,1,0
3,41,Atalanta,Como,1,0
3,42,Atalanta,Como,1,0
3,43,Atalanta,Como,1,0
3,44,Atalanta,Como,1,0
3,45,Atalanta,Como,1,0
3,46,Atalanta,Como,1,1
3,47,Atalanta,Como,1,1
3,48,Atalanta,Como,1,1
3,49,Atalanta,Como,1,1
3,50,Atalanta,Como,1,1
3,51,Atalanta,Como,1,1
3,52,Atalanta,Como,1,1
3,53,Atalanta,Como,1,1
3,54,Atalanta,Como,1,2
3,55,Atalanta,Como,1,2
3,56,Atalanta,Como,1,2
3,57,Atalanta,Como,1,2
3,58,Atalanta,Como,1,3
3,59,Atalanta,Como,1,3
3,60,Atalanta,Como,1,3
3,61,Atalanta,Como,1,3
3,62,Atalanta,Como,1,3
3,63,Atalanta,Como,1,3
3,64,Atalanta,Como,1,3
3,65,Atalanta,Como,1,3
3,66,Atalanta,Como,1,3
3,67,Atalanta,Como,1,3
3,68,Atalanta,Como,1,3
3,69,Atalanta,Como,1,3
3,70,Atalanta,Como,1,3
3,71,Atalanta,Como,1,3
3,72,Atalanta,Como,1,3
3,73,Atalanta,Como,1,3
3,74,Atalanta,Como,1,3
3,75,Atalanta,Como,1,3
3,76,Atalanta,Como,1,3
3,77,Atalanta,Como,1,3
3,78,Atalanta,Como,1,3
