match_id,title
1,ARS-AVL
2,ARS-BOU
3,ARS-BRE
4,ARS-BHA
5,ARS-CHE
6,ARS-CRY
7,ARS-EVE
8,ARS-FUL
9,ARS-LIV
10,ARS-MCI
11,ARS-MUN
12,ARS-NEW
13,ARS-NFO
14,ARS-TOT
15,ARS-WHU
16,ARS-WOL
17,ARS-LEI
18,ARS-IPS
19,ARS-SOU
20,AVL-ARS
21,AVL-BOU
22,AVL-BRE
23,AVL-BHA
24,AVL-CHE
25,AVL-CRY
26,AVL-EVE
27,AVL-FUL
28,AVL-LIV
29,AVL-MCI
30,AVL-MUN
31,AVL-NEW
32,AVL-NFO
33,AVL-TOT
34,AVL-WHU
35,AVL-WOL
36,AVL-LEI
37,AVL-IPS
38,AVL-SOU
39,BOU-ARS
40,BOU-AVL
41,BOU-BRE
42,BOU-BHA
43,BOU-CHE
44,BOU-CRY
45,BOU-EVE
46,BOU-FUL
47,BOU-LIV
48,BOU-MCI
49,BOU-MUN
50,BOU-NEW
51,BOU-NFO
52,BOU-TOT
53,BOU-WHU
54,BOU-WOL
55,BOU-LEI
56,BOU-IPS
57,BOU-SOU
58,BRE-ARS
59,BRE-AVL
60,BRE-BOU
61,BRE-BHA
62,BRE-CHE
63,BRE-CRY
64,BRE-EVE
65,BRE-FUL
66,BRE-LIV
67,BRE-MCI
68,BRE-MUN
69,BRE-NEW
70,BRE-NFO
71,BRE-TOT
72,BRE-WHU
73,BRE-WOL
74,BRE-LEI
75,BRE-IPS
76,BRE-SOU
77,BHA-ARS
78,BHA-AVL
79,BHA-BOU
80,BHA-BRE
81,BHA-CHE
82,BHA-CRY
83,BHA-EVE
84,BHA-FUL
85,BHA-LIV
86,BHA-MCI
87,BHA-MUN
88,BHA-NEW
89,BHA-NFO
90,BHA-TOT
91,BHA-WHU
92,BHA-WOL
93,BHA-LEI
94,BHA-IPS
95,BHA-SOU
96,CHE-ARS
97,CHE-AVL
98,CHE-BOU
99,CHE-BRE
100,CHE-BHA
101,CHE-CRY
102,CHE-EVE
103,CHE-FUL
104,CHE-LIV
105,CHE-MCI
106,CHE-MUN
107,CHE-NEW
108,CHE-NFO
109,CHE-TOT
110,CHE-WHU
111,CHE-WOL
112,CHE-LEI
113,CHE-IPS
114,CHE-SOU
115,CRY-ARS
116,CRY-AVL
117,CRY-BOU
118,CRY-BRE
119,CRY-BHA
120,CRY-CHE
121,CRY-EVE
122,CRY-FUL
123,CRY-LIV
124,CRY-MCI
125,CRY-MUN
126,CRY-NEW
127,CRY-NFO
128,CRY-TOT
129,CRY-WHU
130,CRY-WOL
131,CRY-LEI
132,CRY-IPS
133,CRY-SOU
134,EVE-ARS
135,EVE-AVL
136,EVE-BOU
137,EVE-BRE
138,EVE-BHA
139,EVE-CHE
140,EVE-CRY
141,EVE-FUL
142,EVE-LIV
143,EVE-MCI
144,EVE-MUN
145,EVE-NEW
146,EVE-NFO
147,EVE-TOT
148,EVE-WHU
149,EVE-WOL
150,EVE-LEI
151,EVE-IPS
152,EVE-SOU
153,FUL-ARS
154,FUL-AVL
155,FUL-BOU
156,FUL-BRE
157,FUL-BHA
158,FUL-CHE
159,FUL-CRY
160,FUL-EVE
161,FUL-LIV
162,FUL-MCI
163,FUL-MUN
164,FUL-NEW
165,FUL-NFO
166,FUL-TOT
167,FUL-WHU
168,FUL-WOL
169,FUL-LEI
170,FUL-IPS
171,FUL-SOU
172,LIV-ARS
173,LIV-AVL
174,LIV-BOU
175,LIV-BRE
176,LIV-BHA
177,LIV-CHE
178,LIV-CRY
179,LIV-EVE
180,LIV-FUL
181,LIV-MCI
182,LIV-MUN
183,LIV-NEW
184,LIV-NFO
185,LIV-TOT
186,LIV-WHU
187,LIV-WOL
188,LIV-LEI
189,LIV-IPS
190,LIV-SOU
191,MCI-ARS
192,MCI-AVL
193,MCI-BOU
194,MCI-BRE
195,MCI-BHA
196,MCI-CHE
197,MCI-CRY
198,MCI-EVE
199,MCI-FUL
200,MCI-LIV
201,MCI-MUN
202,MCI-NEW
203,MCI-NFO
204,MCI-TOT
205,MCI-WHU
206,MCI-WOL
207,MCI-LEI
208,MCI-IPS
209,MCI-SOU
210,MUN-ARS
211,MUN-AVL
212,MUN-BOU
213,MUN-BRE
214,MUN-BHA
215,MUN-CHE
216,MUN-CRY
217,MUN-EVE
218,MUN-FUL
219,MUN-LIV
220,MUN-MCI
221,MUN-NEW
222,MUN-NFO
223,MUN-TOT
224,MUN-WHU
225,MUN-WOL
226,MUN-LEI
227,MUN-IPS
228,MUN-SOU
229,NEW-ARS
230,NEW-AVL
231,NEW-BOU
232,NEW-BRE
233,NEW-BHA
234,NEW-CHE
235,NEW-CRY
236,NEW-EVE
237,NEW-FUL
238,NEW-LIV
239,NEW-MCI
240,NEW-MUN
241,NEW-NFO
242,NEW-TOT
243,NEW-WHU
244,NEW-WOL
245,NEW-LEI
246,NEW-IPS
247,NEW-SOU
248,NFO-ARS
249,NFO-AVL
250,NFO-BOU
251,NFO-BRE
252,NFO-BHA
253,NFO-CHE
254,NFO-CRY
255,NFO-EVE
256,NFO-FUL
257,NFO-LIV
258,NFO-MCI
259,NFO-MUN
260,NFO-NEW
261,NFO-TOT
262,NFO-WHU
263,NFO-WOL
264,NFO-LEI
265,NFO-IPS
266,NFO-SOU
267,TOT-ARS
268,TOT-AVL
269,TOT-BOU
270,TOT-BRE
271,TOT-BHA
272,TOT-CHE
273,TOT-CRY
274,TOT-EVE
275,TOT-FUL
276,TOT-LIV
277,TOT-MCI
278,TOT-MUN
279,TOT-NEW
280,TOT-NFO
281,TOT-WHU
282,TOT-WOL
283,TOT-LEI
284,TOT-IPS
285,TOT-SOU
286,WHU-ARS
287,WHU-AVL
288,WHU-BOU
289,WHU-BRE
290,WHU-BHA
291,WHU-CHE
292,WHU-CRY
293,WHU-EVE
294,WHU-FUL
295,WHU-LIV
296,WHU-MCI
297,WHU-MUN
298,WHU-NEW
299,WHU-NFO
300,WHU-TOT
301,WHU-WOL
302,WHU-LEI
303,WHU-IPS
304,WHU-SOU
305,WOL-ARS
306,WOL-AVL
307,WOL-BOU
308,WOL-BRE
309,WOL-BHA
310,WOL-CHE
311,WOL-CRY
312,WOL-EVE
313,WOL-FUL
314,WOL-LIV
315,WOL-MCI
316,WOL-MUN
317,WOL-NEW
318,WOL-NFO
319,WOL-TOT
320,WOL-WHU
321,WOL-LEI
322,WOL-IPS
323,WOL-SOU
324,LEI-ARS
325,LEI-AVL
326,LEI-BOU
327,LEI-BRE
328,LEI-BHA
329,LEI-CHE
330,LEI-CRY
331,LEI-EVE
332,LEI-FUL
333,LEI-LIV
334,LEI-MCI
335,LEI-MUN
336,LEI-NEW
337,LEI-NFO
338,LEI-TOT
339,LEI-WHU
340,LEI-WOL
341,LEI-IPS
342,LEI-SOU
343,IPS-ARS
344,IPS-AVL
345,IPS-BOU
346,IPS-BRE
347,IPS-BHA
348,IPS-CHE
349,IPS-CRY
350,IPS-EVE
351,IPS-FUL
352,IPS-LIV
353,IPS-MCI
354,IPS-MUN
355,IPS-NEW
356,IPS-NFO
357,IPS-TOT
358,IPS-WHU
359,IPS-WOL
360,IPS-LEI
361,IPS-SOU
362,SOU-ARS
363,SOU-AVL
364,SOU-BOU
365,SOU-BRE
366,SOU-BHA
367,SOU-CHE
368,SOU-CRY
369,SOU-EVE
370,SOU-FUL
371,SOU-LIV
372,SOU-MCI
373,SOU-MUN
374,SOU-NEW
375,SOU-NFO
376,SOU-TOT
377,SOU-WHU
378,SOU-WOL
379,SOU-LEI
380,SOU-IPS
