match_id,minute,homeTeam_name,awayTeam_name,homeGoals,awayGoals,shot_count,shot_player,shot_result,shot_xG,shot_situation,shot_type,shot_x,shot_y,shot_assisted_by,shot_last_action,is_goal_minute,home_xG_total,away_xG_total
1,1,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0,0.0
1,2,Arsenal,Aston Villa,0,0,1,Gabriel Martinelli,SavedShot,0.0482,OpenPlay,RightFoot,0.9740000152587891,0.37400001525878906,Declan Rice,Cross,0,0.0482,0.0
1,3,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,4,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,5,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,6,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,7,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,8,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,9,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,10,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,11,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0
1,12,Arsenal,Aston Villa,0,0,1,Ian Maatsen,SavedShot,0.0558,OpenPlay,LeftFoot,0.8669999694824219,0.6480000305175782,,None,0,0.0482,0.0558
1,13,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0558
1,14,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0558
1,15,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0558
1,16,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0482,0.0558
1,17,Arsenal,Aston Villa,0,0,1,Leandro Trossard,SavedShot,0.027,OpenPlay,RightFoot,0.8109999847412109,0.6909999847412109,Kai Havertz,Pass,0,0.0752,0.0558
1,18,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,19,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,20,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,21,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,22,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,23,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,24,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,25,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,26,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0752,0.0558
1,27,Arsenal,Aston Villa,0,0,1,Kai Havertz,MissedShots,0.0236,OpenPlay,LeftFoot,0.7609999847412109,0.5540000152587891,Mikel Merino,Pass,0,0.0989,0.0558
1,28,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0989,0.0558
1,29,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0989,0.0558
1,30,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0989,0.0558
1,31,Arsenal,Aston Villa,0,0,1,Ollie Watkins,MissedShots,0.0305,OpenPlay,RightFoot,0.7969999694824219,0.65,,BallRecovery,0,0.0989,0.0863
1,32,Arsenal,Aston Villa,0,0,0,,,,,,,,,,0,0.0989,0.0863
