match_id,competition,minute,game_phase,formation,from_pos,to_pos,pass_length,pass_angle,pitch_x,pitch_y,pass_outcome
3825848,La Liga 2015/16,40,CLOSING_HALF,F_4_2_3_1,CB,CAM,13.6741,-0.5981,45.4,30.8,success
3825848,La Liga 2015/16,40,CLOSING_HALF,F_4_4_2,LWB,CB,27.8289,2.4096,43.9,4.4,success
3825848,La Liga 2015/16,41,CLOSING_HALF,F_4_2_3_1,CB,LW,54.607,-0.8113,37.5,66.7,success
3825848,La Liga 2015/16,41,CLOSING_HALF,F_4_4_2,CM,CDM,14.1792,-1.7696,52.7,66.5,success
3825848,La Liga 2015/16,42,CLOSING_HALF,F_4_4_2,CB,RW,14.7733,0.4182,77.3,66.7,fail
3825848,La Liga 2015/16,43,CLOSING_HALF,F_4_4_2,LWB,LM,35.1889,0.1282,62.7,1.2,success
3825848,La Liga 2015/16,44,CLOSING_HALF,F_4_2_3_1,CB,CDM,8.6822,0.572,29.1,42.1,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_2_3_1,CB,ST,17.3819,-0.3709,46.0,13.2,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_4_2,CDM,CB,36.5016,-2.1474,56.4,55.7,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_4_2,LWB,CDM,8.4959,2.3062,69.6,5.9,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_4_2,CDM,LB,7.8918,-1.4181,67.5,12.5,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_4_2,CM,LB,5.1088,-2.2731,75.9,7.7,success
3825848,La Liga 2015/16,45,HALF_TIME,F_4_4_2,LB,CB,25.632,2.7828,71.4,5.3,success
3825848,La Liga 2015/16,46,HALF_TIME,F_4_4_2,LB,CDM,15.7293,2.5324,94.2,8.1,success
3825848,La Liga 2015/16,49,HALF_TIME,F_4_4_2,LW,RM,9.9045,0.0303,56.4,14.4,success
3825848,La Liga 2015/16,52,BUILD_PHASE,F_4_2_3_1,CAM,LW,13.2544,3.0509,103.7,6.2,success
3825848,La Liga 2015/16,52,BUILD_PHASE,F_4_4_2,LB,LM,22.8974,1.7022,112.8,8.1,fail
3825848,La Liga 2015/16,55,BUILD_PHASE,F_4_4_2,RW,RB,9.5483,-2.334,77.7,73.0,success
3825848,La Liga 2015/16,56,BUILD_PHASE,F_4_2_3_1,CDM,LW,24.0468,-0.9897,32.5,26.0,fail
3825848,La Liga 2015/16,56,BUILD_PHASE,F_4_2_3_1,ST,CAM,4.0025,2.9148,82.7,18.5,success
3825848,La Liga 2015/16,57,BUILD_PHASE,F_4_4_2,LB,LM,23.6381,-0.8273,35.6,23.7,success
3825848,La Liga 2015/16,58,BUILD_PHASE,F_4_2_3_1,CAM,LW,18.2888,-0.2317,15.0,20.3,fail
3825848,La Liga 2015/16,58,BUILD_PHASE,F_4_4_2,CM,LM,5.2479,1.0304,108.4,36.1,fail
3825848,La Liga 2015/16,58,BUILD_PHASE,F_4_4_2,CB,CDM,13.381,-0.9393,39.5,53.5,success
