name,team,league,position,role,overall,minutes,90s
Caleb Okoli,Leicester City,eng Premier League,DF,Ball-playing Centre-back,90.7,1125,12.5
Jordy Makengo,Freiburg,de Bundesliga,DF,Defensive Midfielder,90.7,745,8.3
Florian Lejeune,Rayo Vallecano,es La Liga,DF,Defensive Centre-back,90.7,3325,36.9
Fabian Schär,Newcastle Utd,eng Premier League,DF,Defensive Centre-back,90.7,2934,32.6
Pierre Cornud,Saint-Étienne,fr Ligue 1,DF,Defensive Midfielder,90.5,576,6.4
Diego Gómez,Brighton,eng Premier League,MF,Ball-winning Midfielder,90.5,516,5.7
Lukas Klostermann,RB Leipzig,de Bundesliga,DF,Ball-playing Centre-back,90.5,1838,20.4
José Gragera,Espanyol,es La Liga,MF,Defensive Midfielder,90.4,569,6.3
Jean Onana,Genoa,it Serie A,MF,Defensive Midfielder,90.2,304,3.4
Lennard Maloney,Heidenheim,de Bundesliga,MF,Defensive Midfielder,90.1,760,8.4
Julian Araujo,Bournemouth,eng Premier League,DF,Defensive Midfielder,90.0,497,5.5
Duje Ćaleta-Car,Lyon,fr Ligue 1,DF,Ball-playing Centre-back,90.0,1584,17.6
Charalambos Lykogiannis,Bologna,it Serie A,DF,Fullback / Wing-back,89.8,1048,11.6
Davide Calabria,Bologna,it Serie A,DF,Fullback / Wing-back,89.6,632,7.0
Wout Faes,Leicester City,eng Premier League,DF,Ball-playing Centre-back,89.6,2815,31.3
Philipp Lienhart,Freiburg,de Bundesliga,DF,Ball-playing Centre-back,89.6,2770,30.8
Romelu Lukaku,Napoli,it Serie A,FW,Target Man / Physical Striker,89.4,2843,31.6
Aster Vranckx,Wolfsburg,de Bundesliga,MF,Defensive Midfielder,89.2,556,6.2
Tim Oermann,Bochum,de Bundesliga,DF,Defensive Midfielder,89.2,2213,24.6
Nicolas Höfler,Freiburg,de Bundesliga,MF,Defensive Midfielder,89.1,794,8.8
Antonino Gallo,Lecce,it Serie A,DF,Fullback / Wing-back,88.9,2609,29.0
Pape Gueye,Villarreal,es La Liga,MF,Ball-winning Midfielder,88.8,2224,24.7
Alejandro Francés,Girona,es La Liga,DF,Defensive Midfielder,88.7,1173,13.0
Carl Starfelt,Celta Vigo,es La Liga,DF,Ball-playing Centre-back,88.7,2270,25.2
Sebastian Walukiewicz,Torino,it Serie A,DF,Defensive Midfielder,88.7,1661,18.5
Flavius Daniliuc,Hellas Verona,it Serie A,DF,Defensive Midfielder,88.6,1004,11.2
Emil Krafth,Newcastle Utd,eng Premier League,DF,Defensive Midfielder,88.5,342,3.8
Yangel Herrera,Girona,es La Liga,MF,Ball-winning Midfielder,88.1,2257,25.1
Haris Belkebla,Angers,fr Ligue 1,MF,Defensive Midfielder,88.1,1792,19.9
Juan Cruz Armada,Osasuna,es La Liga,DF,Defensive Midfielder,88.1,1492,16.6
Anthony Rouault,Stuttgart,de Bundesliga,DF,Ball-playing Centre-back,87.9,1212,13.5
Luca Netz,Gladbach,de Bundesliga,DF,Fullback / Wing-back,87.8,969,10.8
Axel Tuanzebe,Ipswich Town,eng Premier League,DF,Defensive Midfielder,87.7,1710,19.0
José Luis Palomino,Cagliari,it Serie A,DF,Ball-playing Centre-back,87.4,1081,12.0
Fabio Chiarodia,Gladbach,de Bundesliga,DF,Ball-playing Centre-back,87.3,379,4.2
Nathaniel Clyne,Crystal Palace,eng Premier League,DF,Defensive Midfielder,87.0,483,5.4
Christopher Operi,Le Havre,fr Ligue 1,DF,Fullback / Wing-back,86.9,1169,13.0
Josip Juranović,Union Berlin,de Bundesliga,DF,Fullback / Wing-back,86.8,1159,12.9
Donyell Malen,Dortmund,de Bundesliga,FW,Wide Midfielder / Winger,86.8,614,6.8
Wilfried Ndollo,Montpellier,fr Ligue 1,DF,Defensive Midfielder,86.8,401,4.5
Maximilian Mittelstädt,Stuttgart,de Bundesliga,DF,Box-to-box Midfielder,86.6,2469,27.4
Moussa Diarra,Alavés,es La Liga,DF,Defensive Midfielder,86.5,1866,20.7
Fodé Ballo-Touré,Le Havre,fr Ligue 1,DF,Defensive Midfielder,86.4,589,6.5
Gift Orban,Hoffenheim,de Bundesliga,FW,Target Man / Physical Striker,86.4,687,7.6
Álex Suárez,Las Palmas,es La Liga,DF,Defensive Midfielder,86.4,2460,27.3
Joe Scally,Gladbach,de Bundesliga,DF,Defensive Midfielder,86.4,2578,28.6
Matteo Ruggeri,Atalanta,it Serie A,DF,Fullback / Wing-back,86.3,1751,19.5
Juan Miranda,Bologna,it Serie A,DF,Box-to-box Midfielder,86.3,2277,25.3
Kim Min-jae,Bayern Munich,de Bundesliga,DF,Ball-playing Centre-back,86.2,2283,25.4
Yerson Mosquera,Wolves,eng Premier League,DF,Defensive Midfielder,86.2,441,4.9
Mohammed Salisu,Monaco,fr Ligue 1,DF,Defensive Centre-back,86.1,1023,11.4
Stefan de Vrij,Inter,it Serie A,DF,Ball-playing Centre-back,86.1,1636,18.2
Martin Frese,Hellas Verona,it Serie A,DF,Defensive Midfielder,85.9,549,6.1
Florent Hanin,Angers,fr Ligue 1,DF,Fullback / Wing-back,85.8,2672,29.7
Luis Pérez,Valladolid,es La Liga,DF,Fullback / Wing-back,85.8,2558,28.4
Matteo Pessina,Monza,it Serie A,MF,Defensive Midfielder,85.7,854,9.5
Joelinton,Newcastle Utd,eng Premier League,MF,Ball-winning Midfielder,85.6,2393,26.6
Balthazar Pierret,Lecce,it Serie A,MF,Defensive Midfielder,85.4,1723,19.1
Niccolò Pisilli,Roma,it Serie A,MF,Ball-winning Midfielder,85.4,1227,13.6
Leo Skiri Østigård,Rennes,fr Ligue 1,DF,Ball-playing Centre-back,85.3,1227,13.6
Bamba Dieng,Angers,fr Ligue 1,FW,Target Man / Physical Striker,85.3,532,5.9
Antoine Makoumbou,Cagliari,it Serie A,MF,Defensive Midfielder,85.3,2150,23.9
Lorenzo Lucca,Udinese,it Serie A,FW,Target Man / Physical Striker,85.3,2353,26.1
Aitor Paredes,Athletic Club,es La Liga,DF,Ball-playing Centre-back,85.0,1812,20.1
Pietro Comuzzo,Fiorentina,it Serie A,DF,Ball-playing Centre-back,85.0,2110,23.4
Oliver Scarles,West Ham,eng Premier League,DF,Defensive Midfielder,85.0,665,7.4
Gabriel Osho,Auxerre,fr Ligue 1,DF,Ball-playing Centre-back,85.0,1654,18.4
Waldemar Anton,Dortmund,de Bundesliga,DF,Defensive Centre-back,84.8,1949,21.7
Frederic Guilbert,Lecce,it Serie A,DF,Defensive Midfielder,84.7,2435,27.1
Marash Kumbulla,Espanyol,es La Liga,DF,Ball-playing Centre-back,84.7,2972,33.0
Aarón Martín,Genoa,it Serie A,DF,Fullback / Wing-back,84.5,3085,34.3
Giangiacomo Magnani,Hellas Verona,it Serie A,DF,Ball-playing Centre-back,84.5,1065,11.8
Gianluca Lapadula,Cagliari,it Serie A,FW,Target Man / Physical Striker,84.4,310,3.4
Nathan Patterson,Everton,eng Premier League,DF,Fullback / Wing-back,84.3,347,3.9
Grigoris Kastanos,Hellas Verona,it Serie A,MF,Ball-winning Midfielder,84.3,872,9.7
Victor Bernth Kristiansen,Leicester City,eng Premier League,DF,Defensive Midfielder,84.3,2482,27.6
Cristiano Biraghi,Torino,it Serie A,DF,Fullback / Wing-back,84.2,1158,12.9
Pau Victor,Barcelona,es La Liga,FW,Clinical Striker,84.1,319,3.5
Phil Harres,Holstein Kiel,de Bundesliga,FW,Target Man / Physical Striker,84.0,1544,17.2
Granit Xhaka,Leverkusen,de Bundesliga,MF,Box-to-box Midfielder,83.9,2888,32.1
Sergi,Leganés,es La Liga,DF,Ball-playing Centre-back,83.8,2957,32.9
Michael Keane,Everton,eng Premier League,DF,Ball-playing Centre-back,83.8,1049,11.7
Juan Foyth,Villarreal,es La Liga,DF,Defensive Centre-back,83.7,1517,16.9
Fran Vieites,Betis,es La Liga,GK,Goalkeeper,83.6,360,4.0
Hamari Traoré,Real Sociedad,es La Liga,DF,Defensive Midfielder,83.6,700,7.8
Danny Welbeck,Brighton,eng Premier League,FW,Target Man / Physical Striker,83.6,2115,23.5
Amine Gouiri,Marseille,fr Ligue 1,FW,Clinical Striker,83.5,1048,11.6
Dodi Lukebakio,Sevilla,es La Liga,FW,Wide Midfielder / Winger,83.5,3092,34.4
Dani Ceballos,Real Madrid,es La Liga,MF,Box-to-box Midfielder,83.5,1215,13.5
Henrique,Valladolid,es La Liga,DF,Defensive Midfielder,83.3,352,3.9
Daniele Ghilardi,Hellas Verona,it Serie A,DF,Defensive Midfielder,83.3,2029,22.5
Diego Rico,Getafe,es La Liga,DF,Fullback / Wing-back,83.1,2819,31.3
Boubakar Kouyaté,Montpellier,fr Ligue 1,DF,Defensive Midfielder,83.1,756,8.4
Julian Chabot,Stuttgart,de Bundesliga,DF,Ball-playing Centre-back,83.1,2269,25.2
Eric Dier,Bayern Munich,de Bundesliga,DF,Ball-playing Centre-back,82.9,1463,16.3
Iván Balliu,Rayo Vallecano,es La Liga,DF,Defensive Midfielder,82.9,1200,13.3
Pape Matar Sarr,Tottenham,eng Premier League,MF,Ball-winning Midfielder,82.9,1913,21.3
Cristhian Mosquera,Valencia,es La Liga,DF,Ball-playing Centre-back,82.8,3319,36.9
Jakub Kiwior,Arsenal,eng Premier League,DF,Ball-playing Centre-back,82.6,1122,12.5
Ashley Young,Everton,eng Premier League,DF,Fullback / Wing-back,82.6,1875,20.8
Anthony Losilla,Bochum,de Bundesliga,MF,Defensive Midfielder,82.6,1137,12.6
Arthur,Leverkusen,de Bundesliga,DF,Defensive Midfielder,82.5,752,8.4
Reinildo Mandava,Atlético Madrid,es La Liga,DF,Defensive Midfielder,82.5,941,10.5
Éder Militão,Real Madrid,es La Liga,DF,Defensive Centre-back,82.5,938,10.4
Gabriel Suazo,Toulouse,fr Ligue 1,DF,Fullback / Wing-back,82.5,2163,24.0
Hugo Duro,Valencia,es La Liga,FW,Target Man / Physical Striker,82.4,2166,24.1
Diego Llorente,Betis,es La Liga,DF,Ball-playing Centre-back,82.4,2519,28.0
Robert Wagner,St. Pauli,de Bundesliga,MF,Defensive Midfielder,82.3,407,4.5
Luke Thomas,Leicester City,eng Premier League,DF,Defensive Midfielder,82.2,1110,12.3
Falaye Sacko,Montpellier,fr Ligue 1,DF,Defensive Midfielder,82.1,1233,13.7
Jesús Santiago,Getafe,es La Liga,MF,Defensive Midfielder,82.0,372,4.1
Adam Lallana,Southampton,eng Premier League,MF,Box-to-box Midfielder,82.0,361,4.0
Tommaso Pobega,Bologna,it Serie A,MF,Ball-winning Midfielder,81.9,1178,13.1
Samuel Gigot,Lazio,it Serie A,DF,Ball-playing Centre-back,81.9,683,7.6
Maroan Sannadi,Athletic Club,es La Liga,FW,Wide Midfielder / Winger,81.8,754,8.4
Hamzat Ojediran,Lens,fr Ligue 1,MF,Ball-winning Midfielder,81.7,416,4.6
George Hirst,Ipswich Town,eng Premier League,FW,Target Man / Physical Striker,81.5,661,7.3
Mika Mármol,Las Palmas,es La Liga,DF,Defensive Midfielder,81.5,2399,26.7
Jean-Kevin Duverne,Nantes,fr Ligue 1,DF,Defensive Midfielder,81.4,537,6.0
Orri Steinn Óskarsson,Real Sociedad,es La Liga,FW,Target Man / Physical Striker,81.3,944,10.5
João Félix,Milan,it Serie A,MF,Wide Midfielder / Winger,81.3,760,8.4
Aihen Muñoz,Real Sociedad,es La Liga,DF,Defensive Midfielder,81.2,1098,12.2
Ryan Manning,Southampton,eng Premier League,DF,Fullback / Wing-back,81.1,1462,16.2
Bafodé Diakité,Lille,fr Ligue 1,DF,Ball-playing Centre-back,81.0,2766,30.7
Alexander Prass,Hoffenheim,de Bundesliga,DF,Fullback / Wing-back,81.0,1566,17.4
Jacques Ekomie,Angers,fr Ligue 1,DF,Defensive Midfielder,81.0,697,7.7
Giuseppe Pezzella,Empoli,it Serie A,DF,Fullback / Wing-back,80.9,2878,32.0
Louis Leroux,Nantes,fr Ligue 1,MF,Ball-winning Midfielder,80.8,816,9.1
Roberto Piccoli,Cagliari,it Serie A,FW,Target Man / Physical Striker,80.8,3127,34.7
Henrikh Mkhitaryan,Inter,it Serie A,MF,Box-to-box Midfielder,80.7,2328,25.9
Javi Sánchez,Valladolid,es La Liga,DF,Ball-playing Centre-back,80.7,2026,22.5
Joël Veltman,Brighton,eng Premier League,DF,Defensive Midfielder,80.7,1697,18.9
Ezri Konsa,Aston Villa,eng Premier League,DF,Ball-playing Centre-back,80.7,2936,32.6
Emmanuel Biumla,Angers,fr Ligue 1,DF,Ball-playing Centre-back,80.6,1336,14.8
Jesús Areso,Osasuna,es La Liga,DF,Fullback / Wing-back,80.6,3079,34.2
Angelo Stiller,Stuttgart,de Bundesliga,MF,Box-to-box Midfielder,80.6,2741,30.5
Sander Berge,Fulham,eng Premier League,MF,Defensive Midfielder,80.5,2224,24.7
Youssouf Sabaly,Betis,es La Liga,DF,Defensive Midfielder,80.5,1581,17.6
Armando Izzo,Monza,it Serie A,DF,Ball-playing Centre-back,80.4,2435,27.1
Abde Ezzalzouli,Betis,es La Liga,FW,Wide Midfielder / Winger,80.4,1984,22.0
Martin Terrier,Leverkusen,de Bundesliga,MF,Target Man / Physical Striker,80.3,584,6.5
Guido Rodríguez,West Ham,eng Premier League,MF,Defensive Midfielder,80.2,1149,12.8
Djené,Getafe,es La Liga,DF,Defensive Midfielder,80.1,2548,28.3
Daniel Fila,Venezia,it Serie A,FW,Target Man / Physical Striker,80.0,492,5.5
Jamie Vardy,Leicester City,eng Premier League,FW,Target Man / Physical Striker,80.0,2823,31.4
Dayot Upamecano,Bayern Munich,de Bundesliga,DF,Defensive Centre-back,79.9,1759,19.5
Nikola Milenković,Nott'ham Forest,eng Premier League,DF,Ball-playing Centre-back,79.9,3330,37.0
Antonee Robinson,Fulham,eng Premier League,DF,Fullback / Wing-back,79.8,3167,35.2
Tamás Nikitscher,Valladolid,es La Liga,MF,Defensive Midfielder,79.8,858,9.5
Michael Kayode,Brentford,eng Premier League,DF,Fullback / Wing-back,79.7,528,5.9
Pablo Maffeo,Mallorca,es La Liga,DF,Fullback / Wing-back,79.7,2368,26.3
Mathias Jensen,Brentford,eng Premier League,MF,Box-to-box Midfielder,79.5,862,9.6
Frank Magri,Toulouse,fr Ligue 1,FW,Target Man / Physical Striker,79.5,1516,16.8
Ko Itakura,Gladbach,de Bundesliga,DF,Ball-playing Centre-back,79.5,2790,31.0
Kostas Tsimikas,Liverpool,eng Premier League,DF,Box-to-box Midfielder,79.5,837,9.3
Medon Berisha,Lecce,it Serie A,MF,Ball-winning Midfielder,79.4,716,8.0
Loum Tchaouna,Lazio,it Serie A,FW,Wide Midfielder / Winger,79.4,660,7.3
Kike Pérez,Valladolid,es La Liga,MF,Ball-winning Midfielder,79.3,1191,13.2
Joshua Kimmich,Bayern Munich,de Bundesliga,MF,Box-to-box Midfielder,79.2,2847,31.6
Brendan Chardonnet,Brest,fr Ligue 1,DF,Ball-playing Centre-back,79.2,2416,26.8
Liam Delap,Ipswich Town,eng Premier League,FW,Target Man / Physical Striker,79.2,2593,28.8
Jesper Karlström,Udinese,it Serie A,MF,Defensive Midfielder,79.2,3186,35.4
Lucas Digne,Aston Villa,eng Premier League,DF,Fullback / Wing-back,79.1,2351,26.1
William Saliba,Arsenal,eng Premier League,DF,Ball-playing Centre-back,79.0,3039,33.8
Eybi Nije,Torino,it Serie A,FW,Wide Midfielder / Winger,79.0,394,4.4
Stefano Sabelli,Genoa,it Serie A,DF,Defensive Midfielder,78.9,2058,22.9
David Zec,Holstein Kiel,de Bundesliga,DF,Ball-playing Centre-back,78.9,1541,17.1
Omar Traoré,Heidenheim,de Bundesliga,DF,Fullback / Wing-back,78.8,2616,29.1
Filippo Terracciano,Milan,it Serie A,DF,Defensive Midfielder,78.7,539,6.0
Arthur Vermeeren,RB Leipzig,de Bundesliga,MF,Defensive Midfielder,78.7,1572,17.5
Almoatasem Al Musrati,Monaco,fr Ligue 1,MF,Ball-winning Midfielder,78.7,386,4.3
Patrick Cutrone,Como,it Serie A,FW,Target Man / Physical Striker,78.6,2047,22.7
Iñigo Ruiz de Galarreta,Athletic Club,es La Liga,MF,Box-to-box Midfielder,78.6,1477,16.4
Georges Mikautadze,Lyon,fr Ligue 1,FW,Clinical Striker,78.6,1449,16.1
Mark McKenzie,Toulouse,fr Ligue 1,DF,Ball-playing Centre-back,78.6,2496,27.7
Alex Scott,Bournemouth,eng Premier League,MF,Ball-winning Midfielder,78.5,755,8.4
Julian Weigl,Gladbach,de Bundesliga,MF,Defensive Midfielder,78.5,2881,32.0
Abdón Prats,Mallorca,es La Liga,FW,Target Man / Physical Striker,78.5,456,5.1
Carlos Gómez,Rennes,fr Ligue 1,MF,Wide Midfielder / Winger,78.5,381,4.2
Martin Valjent,Mallorca,es La Liga,DF,Ball-playing Centre-back,78.3,2763,30.7
Dominic Calvert-Lewin,Everton,eng Premier League,FW,Target Man / Physical Striker,78.3,1609,17.9
Akor Adams,Montpellier,fr Ligue 1,FW,Target Man / Physical Striker,78.2,1075,11.9
Carlens Arcus,Angers,fr Ligue 1,DF,Defensive Midfielder,78.1,2047,22.7
Héctor Bellerín,Betis,es La Liga,DF,Fullback / Wing-back,78.1,580,6.4
Omar Marmoush,Eint Frankfurt,de Bundesliga,FW,Creative Attacking Midfielder,78.1,1448,16.1
Jonas Hofmann,Leverkusen,de Bundesliga,MF,Wide Midfielder / Winger,78.1,356,4.0
Koka,Le Havre,fr Ligue 1,FW,Target Man / Physical Striker,78.1,851,9.5
Oleksandr Zinchenko,Arsenal,eng Premier League,DF,Box-to-box Midfielder,78.1,527,5.9
Welington,Southampton,eng Premier League,DF,Defensive Midfielder,78.1,482,5.4
Mërgim Vojvoda,Torino,it Serie A,DF,Defensive Midfielder,78.0,1105,12.3
Alejandro Garnacho,Manchester Utd,eng Premier League,MF,Wide Midfielder / Winger,78.0,2199,24.4
Juanmi Latasa,Valladolid,es La Liga,FW,Target Man / Physical Striker,78.0,1398,15.5
Marius Wolf,Augsburg,de Bundesliga,DF,Fullback / Wing-back,77.9,2144,23.8
Woyo Coulibaly,Parma,it Serie A,DF,Defensive Midfielder,77.8,1084,12.0
Enrico Del Prato,Parma,it Serie A,DF,Ball-playing Centre-back,77.8,2947,32.7
Sacha Boey,Bayern Munich,de Bundesliga,DF,Box-to-box Midfielder,77.7,593,6.6
Ezequiel Ávila,Betis,es La Liga,FW,Wide Midfielder / Winger,77.7,677,7.5
Hamed Junior Traorè,Auxerre,fr Ligue 1,MF,Wide Midfielder / Winger,77.7,2093,23.3
Thilo Kehrer,Monaco,fr Ligue 1,DF,Ball-playing Centre-back,77.6,2383,26.5
Andrea Pinamonti,Genoa,it Serie A,FW,Target Man / Physical Striker,77.6,2850,31.7
Wilfried Singo,Monaco,fr Ligue 1,DF,Defensive Centre-back,77.6,2096,23.3
Senne Lynen,Werder Bremen,de Bundesliga,MF,Defensive Midfielder,77.6,2733,30.4
Javi López,Real Sociedad,es La Liga,DF,Defensive Midfielder,77.6,1936,21.5
Mahdi Camara,Brest,fr Ligue 1,MF,Ball-winning Midfielder,77.5,2659,29.5
Williot Swedberg,Celta Vigo,es La Liga,FW,Wide Midfielder / Winger,77.5,1348,15.0
Pierre Højbjerg,Marseille,fr Ligue 1,MF,Box-to-box Midfielder,77.5,2664,29.6
Mads Roerslev,Brentford,eng Premier League,DF,Fullback / Wing-back,77.4,1101,12.2
Tyrick Mitchell,Crystal Palace,eng Premier League,DF,Fullback / Wing-back,77.4,3092,34.4
Mattéo Guendouzi,Lazio,it Serie A,MF,Box-to-box Midfielder,77.2,3270,36.3
Fernando Calero,Espanyol,es La Liga,DF,Ball-playing Centre-back,77.1,715,7.9
Koni De Winter,Genoa,it Serie A,DF,Ball-playing Centre-back,77.0,2135,23.7
Borna Sosa,Torino,it Serie A,DF,Defensive Midfielder,77.0,1181,13.1
Assane Diao,Como,it Serie A,FW,Wide Midfielder / Winger,76.9,1252,13.9
Che Adams,Torino,it Serie A,FW,Target Man / Physical Striker,76.9,2652,29.5
Tammy Abraham,Milan,it Serie A,FW,Target Man / Physical Striker,76.9,1183,13.1
Ki-Jana Hoever,Auxerre,fr Ligue 1,DF,Fullback / Wing-back,76.9,2124,23.6
Axel Disasi,Aston Villa,eng Premier League,DF,Defensive Midfielder,76.8,490,5.4
Ethan Pinnock,Brentford,eng Premier League,DF,Ball-playing Centre-back,76.8,1913,21.3
Jonas Föhrenbach,Heidenheim,de Bundesliga,DF,Defensive Midfielder,76.7,1832,20.4
Lewis Miley,Newcastle Utd,eng Premier League,MF,Ball-winning Midfielder,76.7,313,3.5
Gautier Lloris,Le Havre,fr Ligue 1,DF,Ball-playing Centre-back,76.4,2768,30.8
Florian Tardieu,Saint-Étienne,fr Ligue 1,MF,Box-to-box Midfielder,76.3,1252,13.9
Valentino Lazaro,Torino,it Serie A,DF,Fullback / Wing-back,76.3,2307,25.6
Niels Nkounkou,Eint Frankfurt,de Bundesliga,DF,Fullback / Wing-back,76.2,382,4.2
Mohamed Meité,Rennes,fr Ligue 1,FW,Target Man / Physical Striker,76.2,544,6.0
Matthijs de Ligt,Manchester Utd,eng Premier League,DF,Defensive Centre-back,76.1,2123,23.6
Gorka Guruzeta,Athletic Club,es La Liga,FW,Target Man / Physical Striker,76.1,1840,20.4
Iñigo Lekue,Athletic Club,es La Liga,DF,Defensive Midfielder,76.0,773,8.6
Zinédine Ould Khaled,Angers,fr Ligue 1,MF,Defensive Midfielder,75.9,343,3.8
Andrew Robertson,Liverpool,eng Premier League,DF,Fullback / Wing-back,75.9,2482,27.6
Gabriel Jesus,Arsenal,eng Premier League,FW,Wide Midfielder / Winger,75.7,608,6.8
Sebastiaan Bornauw,Wolfsburg,de Bundesliga,DF,Ball-playing Centre-back,75.7,788,8.8
Leopold Querfeld,Union Berlin,de Bundesliga,DF,Ball-playing Centre-back,75.7,1747,19.4
Jack Stephens,Southampton,eng Premier League,DF,Ball-playing Centre-back,75.7,1389,15.4
Javi Galán,Atlético Madrid,es La Liga,DF,Fullback / Wing-back,75.7,1784,19.8
Marin Šverko,Venezia,it Serie A,DF,Ball-playing Centre-back,75.7,1117,12.4
Arthur Theate,Eint Frankfurt,de Bundesliga,DF,Defensive Centre-back,75.6,2704,30.0
Lilian Raolisoa,Angers,fr Ligue 1,DF,Fullback / Wing-back,75.6,1318,14.6
Adam Smith,Bournemouth,eng Premier League,DF,Defensive Midfielder,75.6,1590,17.7
Federico Gatti,Juventus,it Serie A,DF,Defensive Centre-back,75.5,2195,24.4
Arnaut Danjuma,Girona,es La Liga,FW,Wide Midfielder / Winger,75.5,1335,14.8
Ruben Aguilar,Lens,fr Ligue 1,DF,Box-to-box Midfielder,75.4,1124,12.5
Juanlu Sánchez,Sevilla,es La Liga,MF,Ball-winning Midfielder,75.3,1722,19.1
Tuta,Eint Frankfurt,de Bundesliga,DF,Ball-playing Centre-back,75.3,2274,25.3
Harry Wilson,Fulham,eng Premier League,FW,Wide Midfielder / Winger,75.2,1162,12.9
Hiroki Sekine,Reims,fr Ligue 1,DF,Defensive Midfielder,75.2,887,9.9
Manuel Lazzari,Lazio,it Serie A,DF,Fullback / Wing-back,75.2,1406,15.6
Ricardo Rodríguez,Betis,es La Liga,DF,Defensive Midfielder,75.1,1274,14.2
Luka Jović,Milan,it Serie A,FW,Target Man / Physical Striker,75.1,557,6.2
John Tolkin,Holstein Kiel,de Bundesliga,DF,Defensive Midfielder,75.1,737,8.2
David Raum,RB Leipzig,de Bundesliga,DF,Fullback / Wing-back,75.0,1783,19.8
Abakar Sylla,Strasbourg,fr Ligue 1,DF,Ball-playing Centre-back,75.0,950,10.6
Marco Asensio,Aston Villa,eng Premier League,MF,Wide Midfielder / Winger,74.9,743,8.3
Rafik Messali,Toulouse,fr Ligue 1,DF,Fullback / Wing-back,74.9,456,5.1
Marvin,Las Palmas,es La Liga,DF,Fullback / Wing-back,74.9,1038,11.5
Joel Pohjanpalo,Venezia,it Serie A,FW,Target Man / Physical Striker,74.8,1603,17.8
Brian Oliván,Espanyol,es La Liga,DF,Fullback / Wing-back,74.8,1017,11.3
Óscar Valentín,Rayo Vallecano,es La Liga,MF,Defensive Midfielder,74.8,1835,20.4
Antonio Candela,Venezia,it Serie A,DF,Defensive Midfielder,74.7,1008,11.2
Nampalys Mendy,Lens,fr Ligue 1,MF,Defensive Midfielder,74.7,588,6.5
Kristjan Asllani,Inter,it Serie A,MF,Box-to-box Midfielder,74.6,980,10.9
Cheikh Tidiane Niasse,Hellas Verona,it Serie A,MF,Defensive Midfielder,74.6,755,8.4
Emmanuel Agbadou,Wolves,eng Premier League,DF,Ball-playing Centre-back,74.6,1410,15.7
Patric,Lazio,it Serie A,DF,Ball-playing Centre-back,74.6,607,6.7
Maximilian Wittek,Bochum,de Bundesliga,DF,Fullback / Wing-back,74.5,2706,30.1
David Jurásek,Hoffenheim,de Bundesliga,DF,Fullback / Wing-back,74.3,619,6.9
Alessandro Marcandalli,Venezia,it Serie A,DF,Defensive Midfielder,74.3,354,3.9
Mickael Nade,Saint-Étienne,fr Ligue 1,DF,Ball-playing Centre-back,74.3,2306,25.6
Christian Eriksen,Manchester Utd,eng Premier League,MF,Box-to-box Midfielder,74.2,1061,11.8
Sven Botman,Newcastle Utd,eng Premier League,DF,Defensive Centre-back,74.1,412,4.6
Erhan Mašović,Bochum,de Bundesliga,DF,Ball-playing Centre-back,74.1,910,10.1
Phillip Tietz,Augsburg,de Bundesliga,FW,Target Man / Physical Striker,74.0,1686,18.7
Andre-Frank Zambo Anguissa,Napoli,it Serie A,MF,Ball-winning Midfielder,74.0,2852,31.7
Willi Orban,RB Leipzig,de Bundesliga,DF,Ball-playing Centre-back,74.0,2222,24.7
Daniel Bandeira,Hellas Verona,it Serie A,MF,Defensive Midfielder,74.0,407,4.5
Viti,Las Palmas,es La Liga,DF,Defensive Midfielder,73.9,1982,22.0
Neil El Aynaoui,Lens,fr Ligue 1,MF,Ball-winning Midfielder,73.9,1588,17.6
Emanuele Valeri,Parma,it Serie A,DF,Fullback / Wing-back,73.7,2873,31.9
Jonathan Ikone,Como,it Serie A,FW,Wide Midfielder / Winger,73.7,540,6.0
Sheraldo Becker,Real Sociedad,es La Liga,FW,Wide Midfielder / Winger,73.6,995,11.1
Riccardo Orsolini,Bologna,it Serie A,FW,Clinical Striker,73.6,1878,20.9
Mason Mount,Manchester Utd,eng Premier League,MF,Wide Midfielder / Winger,73.5,622,6.9
Angeliño,Roma,it Serie A,DF,Fullback / Wing-back,73.5,3177,35.3
Fali Candé,Venezia,it Serie A,DF,Ball-playing Centre-back,73.4,1530,17.0
Warren Bondo,Monza,it Serie A,MF,Defensive Midfielder,73.4,1618,18.0
Andrey Santos,Strasbourg,fr Ligue 1,MF,Ball-winning Midfielder,73.4,2855,31.7
Logan Costa,Villarreal,es La Liga,DF,Ball-playing Centre-back,73.3,2587,28.7
Pascal Groß,Dortmund,de Bundesliga,MF,Box-to-box Midfielder,73.2,2327,25.9
Mathías Olivera,Napoli,it Serie A,DF,Defensive Midfielder,73.2,2370,26.3
Conor Gallagher,Atlético Madrid,es La Liga,MF,Ball-winning Midfielder,73.1,1633,18.1
Abdul Mumin,Rayo Vallecano,es La Liga,DF,Ball-playing Centre-back,73.1,2017,22.4
Michael Svoboda,Venezia,it Serie A,DF,Ball-playing Centre-back,73.0,1314,14.6
Santi Comesaña,Villarreal,es La Liga,MF,Ball-winning Midfielder,72.9,2560,28.4
Alexander Isak,Newcastle Utd,eng Premier League,FW,Clinical Striker,72.9,2756,30.6
Facundo Garcés,Alavés,es La Liga,DF,Defensive Midfielder,72.8,678,7.5
Jubal,Auxerre,fr Ligue 1,DF,Ball-playing Centre-back,72.8,2640,29.3
