Team Playstyle,,Weight Combinations,,Match Scenario,,,,,,
CONTROLLING,HIGH,LOW,HIGH,COUNTER_ATTACK,COUNTER_ATTACK ,CONTROL,CONTROL,HIGH_PRESS,CONTROL,DIRECT_PLAY
CONTROLLING,HIGH,LOW,MEDIUM,COUNTER_ATTACK,HIGH_PRESS,CONTROL,HIGH_PRESS,HIGH_PRESS,CONTROL,DIRECT_PLAY
CONTROLLING,HIGH,LOW,LOW,DIRECT_PLAY,HIGH_PRESS,DIRECT_PLAY,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
CONTROLLING,MEDIUM,HIGH,HIGH,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,HIGH,MEDIUM,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,HIGH,LOW,TIKI_TAKA,CONTROL,CONTROL,TIKI_TAKA,HIGH_PRESS,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,MEDIUM,HIGH,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,MEDIUM,MEDIUM,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,MEDIUM,LOW,TIKI_TAKA,CONTROL,CONTROL,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
CONTROLLING,MEDIUM,LOW,HIGH,COUNTER_ATTACK,COUNTER_ATTACK ,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,LOW,MEDIUM,COUNTER_ATTACK,CONTROL,CONTROL,CONTROL,HIGH_PRESS,CONTROL,DIRECT_PLAY
CONTROLLING,MEDIUM,LOW,LOW,DIRECT_PLAY,HIGH_PRESS,DIRECT_PLAY,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
CONTROLLING,LOW,HIGH,HIGH,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,HIGH,MEDIUM,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,HIGH,LOW,TIKI_TAKA,CONTROL,CONTROL,TIKI_TAKA,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,MEDIUM,HIGH,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,MEDIUM,MEDIUM,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,MEDIUM,LOW,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,LOW,HIGH,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,LOW,MEDIUM,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
CONTROLLING,LOW,LOW,LOW,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,CONTROL,DIRECT_PLAY
DEFENSIVE,HIGH,HIGH,HIGH,COUNTER_ATTACK,HIGH_PRESS,DIRECT_PLAY,DIRECT_PLAY,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,HIGH,HIGH,MEDIUM,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,HIGH,HIGH,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,HIGH,MEDIUM,HIGH,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,HIGH,MEDIUM,MEDIUM,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,HIGH,MEDIUM,LOW,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY
DEFENSIVE,HIGH,LOW,HIGH,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,COUNTER_ATTACK,LOW_BLOCK,DIRECT_PLAY
DEFENSIVE,HIGH,LOW,MEDIUM,COUNTER_ATTACK,COUNTER_ATTACK,DIRECT_PLAY,DIRECT_PLAY,DIRECT_PLAY,LOW_BLOCK,DIRECT_PLAY
